Player_Rank_Salary,Player_Name,Team_Salary,Salary_2025,Guaranteed_Salary,player_id,Player_Rank_Stats,Age,Team,Pos,FG,FG_Percent,ThreeP,ThreeP_Percent,TwoP,TwoP_Percent,eFG_Percent,FT,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,PTS,Awards,Log_Salary_2025
84,Kyle Kuzma,MIL,22410605.0,$42755757,kuzmaky01,140,30,MIL,PF,4.9,0.492,1.2,0.347,3.7,0.569,0.552,2.0,0.726,0.8,3.7,4.5,2.7,0.7,0.4,13.0,,16.925044842289093
85,Kentavious Caldwell-Pope,MEM,21621500.0,$21621500,caldwke01,265,32,MEM,SG,2.9,0.41,1.1,0.316,1.9,0.495,0.485,1.4,0.913,0.4,2.1,2.5,2.7,0.8,0.2,8.4,,16.889198747972156
86,Naz Reid,MIN,21551724.0,$96551724,reidna01,130,26,MIN,C,5.2,0.456,2.1,0.362,3.1,0.556,0.549,1.2,0.732,1.2,5.0,6.2,2.2,1.0,1.0,13.6,6MOY-4,16.8859663713142
87,Nikola Vučević,BOS,21481481.0,$21481481,vucevni01,99,35,2TM,C,6.2,0.493,1.6,0.369,4.6,0.557,0.556,1.2,0.828,2.0,6.4,8.4,3.3,0.6,0.6,15.1,,16.882701773086616
87,Nikola Vučević,BOS,21481481.0,$21481481,vucevni01,99,35,CHI,C,6.9,0.505,1.7,0.376,5.2,0.568,0.567,1.3,0.838,2.1,6.9,9.0,3.8,0.7,0.6,16.9,,16.882701773086616
87,Nikola Vučević,BOS,21481481.0,$21481481,vucevni01,99,35,BOS,C,3.8,0.439,1.1,0.34,2.7,0.5,0.504,0.9,0.789,1.6,5.1,6.6,2.0,0.4,0.6,9.7,,16.882701773086616
88,Dillon Brooks,PHO,21124110.0,$41116837,brookdi01,41,30,PHO,SF,7.4,0.435,2.3,0.344,5.2,0.492,0.501,3.0,0.842,0.8,2.9,3.6,1.8,1.0,0.2,20.2,,16.865925600142496
89,Cameron Johnson,DEN,21057065.0,$44119565,johnsca02,154,29,DEN,SF,4.2,0.48,2.0,0.43,2.2,0.539,0.596,1.7,0.839,0.8,3.0,3.8,2.4,0.7,0.4,12.2,,16.86274669123538
90,Norman Powell,MIA,20482758.0,$20482758,powelno01,28,32,MIA,SG,7.3,0.47,2.7,0.38,4.6,0.546,0.558,4.5,0.827,0.4,3.1,3.5,2.5,1.1,0.2,21.7,AS,16.835094017037413
91,Jarrett Allen,CLE,20000000.0,$110720000,allenja01,93,27,CLE,C,6.0,0.638,0.0,0.1,6.0,0.649,0.639,3.3,0.709,2.6,5.9,8.5,1.8,1.0,0.8,15.4,,16.811242831518264
